INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1206.4381081753263,522.304824791741
commerce,981.7910541231181,377.0370824062171,776.2253959041363
communications,122.1966890385062,95.38231482710307,27.729895365840186
construction,2568.723717680717,863.4767473844483,424.39528791373294
energy,-1007.0545036811968,-605.993245468581,35.6382793255389
finance,183.34326567317504,145.50578696030456,189.61902368688152
manufacturing,1302.2450752384664,760.7981229366775,410.03848624012244
mining,-42.294669779612576,-6.171083687955488,174.77932908024619
other_services,86.81411679813259,48.40486752093575,214.64403357375593
professional_services,106.2565166769467,59.101389985472686,432.68784930376
public_services,1344.6983762778882,1209.6546212885326,780.148144142292
transportation,1130.6299515323208,441.55603537023205,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,13.196027157124323,15.391288130872312
