INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1203.8506359869918,522.304824791741
commerce,981.7910541231181,488.82913192208923,776.2253959041363
communications,122.1966890385062,119.24385152528238,27.729895365840186
construction,2568.723717680717,1675.6602134703544,424.39528791373294
energy,-1007.0545036811968,-841.7306696931716,35.6382793255389
finance,183.34326567317504,177.92290010139817,189.61902368688152
manufacturing,1302.2450752384664,1008.1670140657825,410.03848624012244
mining,-42.294669779612576,-30.78951775339489,174.77932908024619
other_services,86.81411679813259,82.11644179300184,214.64403357375593
professional_services,106.2565166769467,94.4773514505501,432.68784930376
public_services,1344.6983762778882,1337.2949891048922,780.148144142292
transportation,1130.6299515323208,651.9594457092285,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,17.840155617584216,15.391288130872312
