INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,655.5212517989194,522.304824791741
commerce,981.7910541231181,448.12356646217734,776.2253959041363
communications,122.1966890385062,67.97424640302903,27.729895365840186
construction,2568.723717680717,1137.9102177580176,424.39528791373294
energy,-1007.0545036811968,-649.6176127337144,35.6382793255389
finance,183.34326567317504,122.06383237401332,189.61902368688152
manufacturing,1302.2450752384664,698.6711502393409,410.03848624012244
mining,-42.294669779612576,-20.57557140101568,174.77932908024619
other_services,86.81411679813259,42.49094115047938,214.64403357375593
professional_services,106.2565166769467,68.97245382678686,432.68784930376
public_services,1344.6983762778882,772.0669901971249,780.148144142292
transportation,1130.6299515323208,576.6136882222429,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,11.63985113472295,15.391288130872312
