INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1277.9633097107521,522.304824791741
commerce,981.7910541231181,865.8552728321952,776.2253959041363
communications,122.1966890385062,119.58925039904939,27.729895365840186
construction,2568.723717680717,1748.4684535371985,424.39528791373294
energy,-1007.0545036811968,-835.0682744715806,35.6382793255389
finance,183.34326567317504,157.4090036782475,189.61902368688152
manufacturing,1302.2450752384664,1081.3930598163263,410.03848624012244
mining,-42.294669779612576,-21.764372347497087,174.77932908024619
other_services,86.81411679813259,48.856154756072996,214.64403357375593
professional_services,106.2565166769467,76.62713724579383,432.68784930376
public_services,1344.6983762778882,1216.8413025879008,780.148144142292
transportation,1130.6299515323208,930.15357767987,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,13.50561583662712,15.391288130872312
