INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1175.0974902547011,522.304824791741
commerce,981.7910541231181,384.6433835735653,776.2253959041363
communications,122.1966890385062,107.8450827988903,27.729895365840186
construction,2568.723717680717,819.4766545504978,424.39528791373294
energy,-1007.0545036811968,-619.2359808842838,35.6382793255389
finance,183.34326567317504,148.98510736798693,189.61902368688152
manufacturing,1302.2450752384664,801.1452530242801,410.03848624012244
mining,-42.294669779612576,-7.439395037556007,174.77932908024619
other_services,86.81411679813259,44.44687047880936,214.64403357375593
professional_services,106.2565166769467,70.70814524928231,432.68784930376
public_services,1344.6983762778882,1218.3408866892366,780.148144142292
transportation,1130.6299515323208,440.6203356398104,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,14.971924497052083,15.391288130872312
