INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1208.8863938748577,522.304824791741
commerce,981.7910541231181,479.2719425253802,776.2253959041363
communications,122.1966890385062,114.7219613534919,27.729895365840186
construction,2568.723717680717,1638.2777544108264,424.39528791373294
energy,-1007.0545036811968,-875.0750286130327,35.6382793255389
finance,183.34326567317504,179.02561280517097,189.61902368688152
manufacturing,1302.2450752384664,1025.2218169460543,410.03848624012244
mining,-42.294669779612576,-30.77013805570239,174.77932908024619
other_services,86.81411679813259,82.1915653437827,214.64403357375593
professional_services,106.2565166769467,96.97689312458193,432.68784930376
public_services,1344.6983762778882,1337.9300318682801,780.148144142292
transportation,1130.6299515323208,636.2028053660614,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,16.786514822270508,15.391288130872312
