INE_sector,value_added_EH_initial,value_added_EH_final,labor_input_EH_initial
ag,1311.5532561981968,1264.9103147908445,522.304824791741
commerce,981.7910541231181,870.9449417111421,776.2253959041363
communications,122.1966890385062,118.9993669458838,27.729895365840186
construction,2568.723717680717,1703.179640895477,424.39528791373294
energy,-1007.0545036811968,-808.225514494571,35.6382793255389
finance,183.34326567317504,154.45753145351998,189.61902368688152
manufacturing,1302.2450752384664,1076.6565677516132,410.03848624012244
mining,-42.294669779612576,-19.664449942478512,174.77932908024619
other_services,86.81411679813259,50.786222416787744,214.64403357375593
professional_services,106.2565166769467,77.59978481770963,432.68784930376
public_services,1344.6983762778882,1237.4748457408493,780.148144142292
transportation,1130.6299515323208,927.8446171727197,570.3993496875373
unclassified,,,18.205898917190837
unemployed,,,3.1306013249513787
utilities,19.00279868931879,16.120185735259362,15.391288130872312
